dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.057301,6.058140,7.099529,4.178079,0.459818,0.084256,5.843233
0.020000,10.133137,6.022610,7.183276,4.187323,0.462210,0.119609,5.846906
0.020000,10.209275,5.987289,7.267207,4.196589,0.463309,0.054927,5.850761
0.020000,10.285721,5.952190,7.351325,4.205906,0.465844,0.126785,5.854799
0.020000,10.362481,5.917331,7.435630,4.215251,0.467225,0.069035,5.859019
0.020000,10.439562,5.882725,7.520123,4.224629,0.468915,0.084498,5.863424
0.020000,10.516970,5.848391,7.604804,4.234054,0.471234,0.115975,5.868013
0.020000,10.594711,5.814343,7.689674,4.243495,0.472093,0.042914,5.872788
0.020000,10.672791,5.780599,7.774734,4.252979,0.474207,0.105723,5.877748
0.020000,10.751215,5.747175,7.859983,4.262489,0.475452,0.062252,5.882895
0.020000,10.829989,5.714089,7.945424,4.272016,0.476384,0.046573,5.888229
0.020000,10.909118,5.681358,8.031055,4.281583,0.478349,0.098251,5.893750
0.020000,10.988608,5.648999,8.116878,4.291154,0.478524,0.008786,5.899459
0.020000,11.068461,5.617031,8.202893,4.300742,0.479428,0.045179,5.905356
0.020000,11.148684,5.585472,8.289100,4.310349,0.480354,0.046314,5.911442
0.020000,11.229279,5.554340,8.375499,4.319950,0.480025,-0.016456,5.917715
0.020000,11.310250,5.523654,8.462090,4.329556,0.480322,0.014857,5.924177
0.020000,11.391601,5.493432,8.548874,4.339157,0.480013,-0.015452,5.930828
0.020000,11.473334,5.463694,8.635848,4.348737,0.479021,-0.049628,5.937666
0.020000,11.555451,5.434459,8.723014,4.358303,0.478286,-0.036744,5.944692
0.020000,11.637955,5.405747,8.810371,4.367836,0.476684,-0.080092,5.951904
0.020000,11.720846,5.377578,8.897918,4.377330,0.474698,-0.099288,5.959303
0.020000,11.804124,5.349970,8.985653,4.386781,0.472550,-0.107388,5.966887
0.020000,11.887792,5.322945,9.073577,4.396173,0.469575,-0.148793,5.974656
0.020000,11.971846,5.296523,9.161687,4.405498,0.466272,-0.165144,5.982607
0.020000,12.056288,5.270723,9.249982,4.414745,0.462329,-0.197137,5.990739
0.020000,12.141114,5.245566,9.338460,4.423903,0.457898,-0.221543,5.999051
0.020000,12.226323,5.221073,9.427119,4.432962,0.452975,-0.246163,6.007541
0.020000,12.311911,5.197264,9.515957,4.441899,0.446840,-0.306741,6.016206
0.020000,12.397874,5.174159,9.604971,4.450718,0.440948,-0.294616,6.025044
0.020000,12.484209,5.151778,9.694159,4.459398,0.433980,-0.348367,6.034052
0.020000,12.570908,5.130142,9.783517,4.467910,0.425616,-0.418195,6.043227
0.020000,12.657966,5.109270,9.873043,4.476271,0.418057,-0.377995,6.052566
0.020000,12.745377,5.089183,9.962732,4.484443,0.408577,-0.473953,6.062065
0.020000,12.833131,5.069900,10.052580,4.492409,0.398326,-0.512567,6.071721
0.020000,12.921222,5.051440,10.142584,4.500186,0.388824,-0.475091,6.081529
0.020000,13.009638,5.033821,10.232738,4.507709,0.376153,-0.633546,6.091484
0.020000,13.098369,5.017063,10.323038,4.515009,0.365001,-0.557619,6.101583
0.020000,13.187405,5.001184,10.413479,4.522061,0.352607,-0.619720,6.111820
0.020000,13.276734,4.986200,10.504055,4.528807,0.337289,-0.765863,6.122189
0.020000,13.366342,4.972129,10.594762,4.535320,0.325671,-0.580931,6.132686
0.020000,13.456216,4.958987,10.685591,4.541482,0.308094,-0.878841,6.143304
0.020000,13.546342,4.946789,10.776539,4.547377,0.294737,-0.667824,6.154037
0.020000,13.636704,4.935551,10.867597,4.552924,0.277362,-0.868754,6.164879
0.020000,13.727287,4.925286,10.958760,4.558140,0.260807,-0.827745,6.175824
0.020000,13.818074,4.916007,11.050021,4.563021,0.244022,-0.839264,6.186864
0.020000,13.909049,4.907727,11.141371,4.567521,0.225014,-0.950422,6.197992
0.020000,14.000193,4.900457,11.232805,4.571683,0.208101,-0.845639,6.209202
0.020000,14.091488,4.894208,11.324314,4.575445,0.188111,-0.999476,6.220486
0.020000,14.182916,4.888988,11.415890,4.578838,0.169623,-0.924440,6.231836
0.020000,14.274458,4.884807,11.507527,4.581858,0.151027,-0.929802,6.243245
0.020000,14.366093,4.881670,11.599216,4.584430,0.128595,-1.121585,6.254706
0.020000,14.457803,4.879585,11.690950,4.586702,0.113607,-0.749394,6.266210
0.020000,14.549566,4.878557,11.782719,4.588452,0.087485,-1.306093,6.277749
0.020000,14.641364,4.878588,11.874517,4.589892,0.072024,-0.773046,0.006131
0.020000,14.733177,4.879683,11.966336,4.590955,0.053159,-0.943282,0.017718
0.020000,14.824981,4.881842,12.058166,4.591493,0.026876,-1.314128,0.029317
0.020000,14.916759,4.885067,12.150001,4.591739,0.012307,-0.728430,0.040921
0.020000,14.997201,4.888772,12.230527,4.026317,-28.271117,-1414.171222,0.051299
0.020000,15.090333,4.894163,12.323815,4.664420,31.905143,3008.812998,0.064328
0.020000,15.183288,4.900755,12.417003,4.659399,-0.251055,-1607.809885,0.077258
0.020000,15.276038,4.908534,12.510079,4.653788,-0.280517,-1.473130,0.090078
0.020000,15.368558,4.917484,12.603031,4.647603,-0.309258,-1.437030,0.102777
0.020000,15.460823,4.927588,12.695848,4.640860,-0.337159,-1.395066,0.115343
0.020000,15.552811,4.938826,12.788520,4.633578,-0.364116,-1.347840,0.127767
0.020000,15.644498,4.951178,12.881036,4.625777,-0.390036,-1.295979,0.140038
0.020000,15.735864,4.964623,12.973385,4.617480,-0.414838,-1.240125,0.152146
0.020000,15.826888,4.979137,13.065559,4.608711,-0.438457,-1.180927,0.164082
0.020000,15.917553,4.994698,13.157549,4.599494,-0.460837,-1.119031,0.175837
0.020000,16.007840,5.011280,13.249346,4.589863,-0.481561,-1.036192,0.187404
0.020000,16.097734,5.028858,13.340943,4.579834,-0.501459,-0.994885,0.198773
0.020000,16.187221,5.047405,13.432332,4.569427,-0.520332,-0.943676,0.209939
0.020000,16.276287,5.066895,13.523505,4.558678,-0.537472,-0.856993,0.220894
0.020000,16.364920,5.087301,13.614457,4.547612,-0.553281,-0.790422,0.231632
0.020000,16.453111,5.108594,13.705183,4.536257,-0.567758,-0.723869,0.242147
0.020000,16.540851,5.130746,13.795676,4.524645,-0.580612,-0.642717,0.252435
0.020000,16.628131,5.153729,13.885931,4.512784,-0.593048,-0.621771,0.262490
0.020000,16.714946,5.177514,13.975945,4.500709,-0.603743,-0.534774,0.272308
0.020000,16.801290,5.202073,14.065714,4.488444,-0.613253,-0.475506,0.281886
0.020000,16.887160,5.227378,14.155234,4.476012,-0.621597,-0.417181,0.291220
0.020000,16.972552,5.253398,14.244503,4.463433,-0.628930,-0.366660,0.300307
0.020000,17.057465,5.280107,14.333518,4.450728,-0.635284,-0.317679,0.309145
0.020000,17.141898,5.307476,14.422276,4.437916,-0.640559,-0.263744,0.317732
0.020000,17.225852,5.335476,14.510776,4.425018,-0.644923,-0.218207,0.326066
0.020000,17.309329,5.364080,14.599017,4.412047,-0.648558,-0.181766,0.334145
0.020000,17.392329,5.393261,14.686998,4.399021,-0.651267,-0.135424,0.341970
0.020000,17.474856,5.422991,14.774717,4.385957,-0.653222,-0.097763,0.349538
0.020000,17.556914,5.453244,14.862174,4.372866,-0.654543,-0.066080,0.356849
0.020000,17.638508,5.483993,14.949369,4.359761,-0.655267,-0.036191,0.363903
0.020000,17.719642,5.515212,15.036302,4.346647,-0.655711,-0.022202,0.370700
0.020000,17.800322,5.546876,15.122973,4.333544,-0.655139,0.028628,0.377241
0.020000,17.880554,5.578959,15.209382,4.320456,-0.654377,0.038111,0.383524
0.020000,17.960345,5.611437,15.295530,4.307392,-0.653235,0.057097,0.389552
0.020000,18.039702,5.644285,15.381417,4.294356,-0.651764,0.073537,0.395323
0.020000,18.118633,5.677480,15.467044,4.281350,-0.650291,0.073625,0.400840
0.020000,18.197146,5.710998,15.552412,4.268390,-0.648048,0.112168,0.406103
0.020000,18.275248,5.744816,15.637522,4.255473,-0.645841,0.110342,0.411112
0.020000,18.352948,5.778912,15.722374,4.242602,-0.643511,0.116528,0.415869
0.020000,18.430255,5.813263,15.806969,4.229781,-0.641070,0.122022,0.420375
0.020000,18.507179,5.847848,15.891309,4.217009,-0.638594,0.123789,0.424630
0.020000,18.583726,5.882645,15.975395,4.204285,-0.636204,0.119536,0.428636
0.020000,18.659909,5.917633,16.059227,4.191617,-0.633415,0.139410,0.432393
0.020000,18.735734,5.952791,16.142807,4.178999,-0.630870,0.127264,0.435903
0.020000,18.811212,5.988100,16.226136,4.166432,-0.628373,0.124882,0.439166
0.020000,18.886353,6.023538,16.309214,4.153913,-0.625947,0.121273,0.442184
0.020000,18.961165,6.059087,16.392043,4.141441,-0.623616,0.116543,0.444957
0.020000,19.035659,6.094727,16.474623,4.129011,-0.621464,0.107631,0.447487
0.020000,19.109843,6.130439,16.556956,4.116624,-0.619382,0.104095,0.449774
0.020000,19.183728,6.166203,16.639041,4.104277,-0.617357,0.101242,0.451818
0.020000,19.257322,6.202002,16.720881,4.091965,-0.615589,0.088400,0.453622
0.020000,19.330635,6.237817,16.802474,4.079685,-0.613999,0.079496,0.455184
0.020000,19.403676,6.273630,16.883823,4.067433,-0.612598,0.070026,0.456506
0.020000,19.476455,6.309423,16.964927,4.055205,-0.611397,0.060071,0.457589
0.020000,19.548981,6.345178,17.045787,4.042997,-0.610403,0.049708,0.458432
0.020000,19.621261,6.380877,17.126403,4.030804,-0.609641,0.038085,0.459036
0.020000,19.693306,6.416503,17.206776,4.018623,-0.609048,0.029653,0.459401
0.020000,19.765125,6.452039,17.286905,4.006449,-0.608695,0.017637,0.459527
0.020000,19.836724,6.487468,17.366790,3.994278,-0.608582,0.005677,0.459415
0.020000,19.908114,6.522772,17.446432,3.982104,-0.608694,-0.005608,0.459064
0.020000,19.979302,6.557935,17.525831,3.969923,-0.609031,-0.016860,0.458475
0.020000,20.050296,6.592939,17.604985,3.957731,-0.609591,-0.028007,0.457646
0.020000,20.121104,6.627768,17.683896,3.945524,-0.610371,-0.038976,0.456578
0.020000,20.191734,6.662406,17.762562,3.933297,-0.611323,-0.047621,0.455270
0.020000,20.262193,6.696835,17.840983,3.921047,-0.612507,-0.059208,0.453722
0.020000,20.332489,6.731038,17.919158,3.908768,-0.613943,-0.071774,0.451933
0.020000,20.402628,6.765001,17.997087,3.896458,-0.615535,-0.079622,0.449902
0.020000,20.472617,6.798705,18.074769,3.884112,-0.617307,-0.088569,0.447630
0.020000,20.542464,6.832135,18.152204,3.871727,-0.619244,-0.096864,0.445115
0.020000,20.612174,6.865273,18.229390,3.859300,-0.621332,-0.104419,0.442356
0.020000,20.681754,6.898105,18.306327,3.846829,-0.623542,-0.110470,0.439353
0.020000,20.751210,6.930612,18.383013,3.834315,-0.625718,-0.108833,0.436104
0.020000,20.820546,6.962780,18.459448,3.821749,-0.628308,-0.129493,0.432609
0.020000,20.889769,6.994590,18.535631,3.809132,-0.630817,-0.125460,0.428867
0.020000,20.958885,7.026029,18.611560,3.796465,-0.633375,-0.127866,0.424876
0.020000,21.027896,7.057078,18.687235,3.783746,-0.635953,-0.128917,0.420636
0.020000,21.096810,7.087721,18.762654,3.770975,-0.638523,-0.128497,0.416145
0.020000,21.165629,7.117944,18.837817,3.758158,-0.640875,-0.117580,0.411403
0.020000,21.234359,7.147728,18.912723,3.745289,-0.643432,-0.127848,0.406409
0.020000,21.303003,7.177059,18.987371,3.732372,-0.645851,-0.120986,0.401161
0.020000,21.371564,7.205920,19.061759,3.719411,-0.648050,-0.109941,0.395660
0.020000,21.440047,7.234294,19.135887,3.706410,-0.650057,-0.100333,0.389903
0.020000,21.508453,7.262167,19.209755,3.693375,-0.651774,-0.085846,0.383891
0.020000,21.576788,7.289523,19.283361,3.680312,-0.653120,-0.067294,0.377623
0.020000,21.645052,7.316345,19.356705,3.667222,-0.654490,-0.068519,0.371098
0.020000,21.713248,7.342618,19.429788,3.654117,-0.655266,-0.038821,0.364316
0.020000,21.781379,7.368326,19.502608,3.641005,-0.655604,-0.016887,0.357277
0.020000,21.849447,7.393455,19.575166,3.627897,-0.655398,0.010310,0.349981
0.020000,21.917453,7.417989,19.647462,3.614804,-0.654630,0.038424,0.342428
0.020000,21.985399,7.441913,19.719496,3.601735,-0.653473,0.057823,0.334619
0.020000,22.053286,7.465212,19.791270,3.588705,-0.651488,0.099249,0.326555
0.020000,22.121115,7.487872,19.862785,3.575730,-0.648769,0.135960,0.318236
0.020000,22.188889,7.509879,19.934042,3.562825,-0.645239,0.176482,0.309664
0.020000,22.256606,7.531219,20.005042,3.550006,-0.640942,0.214839,0.300841
0.020000,22.324268,7.551877,20.075788,3.537292,-0.635685,0.262851,0.291769
0.020000,22.391876,7.571841,20.146282,3.524704,-0.629426,0.312956,0.282449
0.020000,22.459431,7.591098,20.216527,3.512261,-0.622139,0.364384,0.272886
0.020000,22.526931,7.609635,20.286526,3.499982,-0.613973,0.408261,0.263082
0.020000,22.594379,7.627439,20.356284,3.487895,-0.604339,0.481704,0.253041
0.020000,22.661774,7.644499,20.425805,3.476022,-0.593636,0.535172,0.242767
0.020000,22.729116,7.660803,20.495093,3.464388,-0.581705,0.596549,0.232266
0.020000,22.796406,7.676340,20.564153,3.453016,-0.568588,0.655854,0.221541
0.020000,22.863643,7.691100,20.632991,3.441927,-0.554466,0.706076,0.210598
0.020000,22.930829,7.705073,20.701615,3.431160,-0.538352,0.805738,0.199445
0.020000,22.997963,7.718247,20.770029,3.420735,-0.521240,0.855589,0.188087
0.020000,23.064650,7.730545,20.837841,3.390562,-1.508647,-49.370360,0.176601
0.020000,23.130002,7.741824,20.904159,3.315912,-3.732505,-111.192901,0.165155
0.020000,23.193434,7.752030,20.968406,3.212373,-5.176957,-72.222621,0.153871
0.020000,23.254852,7.761208,21.030507,3.105041,-5.366617,-9.482968,0.142790
0.020000,23.314263,7.769421,21.090483,2.998773,-5.313387,2.661478,0.131932
0.020000,23.371669,7.776730,21.148352,2.893474,-5.264967,2.420996,0.121316
0.020000,23.427075,7.783194,21.204134,2.789087,-5.219324,2.282141,0.110960
0.020000,23.480485,7.788873,21.257845,2.685567,-5.176019,2.165266,0.100880
0.020000,23.531903,7.793824,21.309500,2.582766,-5.140044,1.798770,0.091092
0.020000,23.581331,7.798103,21.359114,2.480693,-5.103650,1.819707,0.081610
