dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.987199,7.128796,10.203853,3.540580,-0.433682,0.351948,6.034052
0.020000,13.055738,7.111692,10.274494,3.532049,-0.426515,0.358331,6.043227
0.020000,13.124270,7.095261,10.344968,3.523700,-0.417452,0.453194,6.052566
0.020000,13.192795,7.079514,10.415279,3.515528,-0.408622,0.441491,6.062065
0.020000,13.261311,7.064458,10.485430,3.507546,-0.399095,0.476351,6.071721
0.020000,13.329819,7.050101,10.555426,3.499793,-0.387677,0.570877,6.081529
0.020000,13.398317,7.036452,10.625271,3.492244,-0.377416,0.513037,6.091484
0.020000,13.466805,7.023517,10.694970,3.484951,-0.364668,0.637429,6.101583
0.020000,13.535283,7.011304,10.764528,3.477919,-0.351593,0.653755,6.111820
0.020000,13.603749,6.999819,10.833950,3.471129,-0.339488,0.605259,6.122189
0.020000,13.672203,6.989069,10.903244,3.464663,-0.323300,0.809352,6.132686
0.020000,13.740644,6.979061,10.972413,3.458454,-0.310463,0.641894,6.143304
0.020000,13.809072,6.969800,11.041465,3.452589,-0.293238,0.861212,6.154037
0.020000,13.877486,6.961291,11.110405,3.447030,-0.277963,0.763783,6.164879
0.020000,13.945884,6.953540,11.179241,3.441810,-0.261011,0.847611,6.175824
0.020000,14.014267,6.946551,11.247980,3.436945,-0.243254,0.887807,6.186864
0.020000,14.082633,6.940329,11.316629,3.432419,-0.226268,0.849303,6.197992
0.020000,14.150981,6.934877,11.385194,3.428282,-0.206886,0.969107,6.209202
0.020000,14.219311,6.930199,11.453684,3.424500,-0.189085,0.890063,6.220486
0.020000,14.287622,6.926299,11.522107,3.421109,-0.169525,0.978000,6.231836
0.020000,14.355913,6.923180,11.590469,3.418119,-0.149518,1.000332,6.243245
0.020000,14.424183,6.920843,11.658779,3.415480,-0.131947,0.878550,6.254706
0.020000,14.492432,6.919291,11.727045,3.413310,-0.108517,1.171505,6.266210
0.020000,14.560656,6.918527,11.795274,3.411446,-0.093175,0.767092,6.277749
0.020000,14.628857,6.918550,11.863475,3.410050,-0.069816,1.167968,0.006131
0.020000,14.697034,6.919363,11.931656,3.409069,-0.049023,1.039634,0.017718
0.020000,14.765183,6.920966,11.999824,3.408392,-0.033881,0.757101,0.029317
0.020000,14.833305,6.923359,12.067988,3.408186,-0.010302,1.178950,0.040921
0.020000,14.892596,6.926088,12.127342,2.967709,-22.023833,-1100.676519,0.051299
0.020000,14.959195,6.929944,12.194052,3.335516,18.390321,2020.707657,0.064328
0.020000,15.025838,6.934670,12.260863,3.340540,0.251241,-906.953980,0.077258
0.020000,15.092527,6.940264,12.327786,3.346154,0.280683,1.472107,0.090078
0.020000,15.159262,6.946720,12.394833,3.352342,0.309378,1.434727,0.102777
0.020000,15.226045,6.954033,12.462014,3.359086,0.337223,1.392269,0.115343
0.020000,15.292875,6.962198,12.529342,3.366369,0.364126,1.345128,0.127767
0.020000,15.359754,6.971208,12.596825,3.374169,0.390001,1.293756,0.140038
0.020000,15.426683,6.981057,12.664475,3.382464,0.414774,1.238643,0.152146
0.020000,15.493661,6.991737,12.732299,3.391232,0.438380,1.180314,0.164082
0.020000,15.560690,7.003242,12.800308,3.400447,0.460766,1.119315,0.175837
0.020000,15.627770,7.015562,12.868510,3.410090,0.482171,1.070261,0.187404
0.020000,15.694901,7.028689,12.936912,3.420129,0.501928,0.987834,0.198773
0.020000,15.762084,7.042614,13.005523,3.430532,0.520143,0.910739,0.209939
0.020000,15.829318,7.057327,13.074349,3.441278,0.537332,0.859457,0.220894
0.020000,15.896605,7.072818,13.143396,3.452342,0.553201,0.793455,0.231632
0.020000,15.963944,7.089077,13.212669,3.463698,0.567770,0.728470,0.242147
0.020000,16.031336,7.106092,13.282176,3.475324,0.581302,0.676558,0.252435
0.020000,16.098780,7.123852,13.351920,3.487182,0.592919,0.580884,0.262490
0.020000,16.166278,7.142346,13.421905,3.499256,0.603697,0.538878,0.272308
0.020000,16.233829,7.161560,13.492135,3.511522,0.613285,0.479423,0.281886
0.020000,16.301433,7.181482,13.562614,3.523957,0.621754,0.423419,0.291220
0.020000,16.369092,7.202100,13.633345,3.536538,0.629071,0.365852,0.300307
0.020000,16.436807,7.223399,13.704330,3.549245,0.635309,0.311895,0.309145
0.020000,16.504576,7.245366,13.775571,3.562058,0.640650,0.267063,0.317732
0.020000,16.572402,7.267988,13.847070,3.574959,0.645069,0.220960,0.326066
0.020000,16.640286,7.291250,13.918829,3.587930,0.648528,0.172968,0.334145
0.020000,16.708228,7.315137,13.990848,3.600956,0.651300,0.138557,0.341970
0.020000,16.776231,7.339635,14.063128,3.614023,0.653355,0.102791,0.349538
0.020000,16.844295,7.364728,14.135671,3.627117,0.654709,0.067705,0.356849
0.020000,16.912422,7.390403,14.208475,3.640226,0.655442,0.036628,0.363903
0.020000,16.980614,7.416643,14.281542,3.653334,0.655394,-0.002410,0.370700
0.020000,17.048874,7.443432,14.354871,3.666439,0.655289,-0.005218,0.377241
0.020000,17.117204,7.470756,14.428461,3.679530,0.654541,-0.037445,0.383524
0.020000,17.185607,7.498599,14.502313,3.692598,0.653404,-0.056841,0.389552
0.020000,17.254085,7.526944,14.576426,3.705637,0.651931,-0.073635,0.395323
0.020000,17.322641,7.555776,14.650799,3.718635,0.649929,-0.100080,0.400840
0.020000,17.391280,7.585079,14.725431,3.731598,0.648153,-0.088809,0.406103
0.020000,17.460004,7.614837,14.800321,3.744518,0.645988,-0.108255,0.411112
0.020000,17.528818,7.645034,14.875469,3.757391,0.643649,-0.116970,0.415869
0.020000,17.597726,7.675653,14.950873,3.770215,0.641196,-0.122636,0.420375
0.020000,17.666732,7.706678,15.026533,3.782988,0.638632,-0.128180,0.424630
0.020000,17.735841,7.738094,15.102447,3.795706,0.635913,-0.135983,0.428636
0.020000,17.805058,7.769883,15.178615,3.808377,0.633534,-0.118950,0.432393
0.020000,17.874387,7.802029,15.255035,3.820996,0.630975,-0.127916,0.435903
0.020000,17.943835,7.834517,15.331706,3.833566,0.628464,-0.125595,0.439166
0.020000,18.013408,7.867329,15.408628,3.846086,0.626023,-0.122025,0.442184
0.020000,18.083110,7.900450,15.485799,3.858560,0.623677,-0.117314,0.444957
0.020000,18.152948,7.933863,15.563219,3.870987,0.621386,-0.114542,0.447487
0.020000,18.222929,7.967551,15.640886,3.883373,0.619287,-0.104968,0.449774
0.020000,18.293059,8.001499,15.718800,3.895721,0.617426,-0.093026,0.451818
0.020000,18.363345,8.035689,15.796961,3.908034,0.615645,-0.089064,0.453622
0.020000,18.433795,8.070105,15.875367,3.920315,0.614042,-0.080158,0.455184
0.020000,18.504414,8.104730,15.954019,3.932568,0.612628,-0.070681,0.456506
0.020000,18.575211,8.139548,16.032915,3.944796,0.611414,-0.060716,0.457589
0.020000,18.646194,8.174543,16.112055,3.957004,0.610407,-0.050342,0.458432
0.020000,18.717370,8.209696,16.191439,3.969196,0.609596,-0.040557,0.459036
0.020000,18.788748,8.244993,16.271066,3.981377,0.609053,-0.027117,0.459401
0.020000,18.860334,8.280414,16.350937,3.993551,0.608717,-0.016822,0.459527
0.020000,18.932139,8.315944,16.431052,4.005723,0.608591,-0.006276,0.459415
0.020000,19.004171,8.351566,16.511410,4.017897,0.608692,0.005008,0.459064
0.020000,19.076437,8.387261,16.592011,4.030077,0.609017,0.016257,0.458475
0.020000,19.148948,8.423013,16.672857,4.042269,0.609565,0.027401,0.457646
0.020000,19.221711,8.458804,16.753946,4.054475,0.610332,0.038366,0.456578
0.020000,19.294736,8.494616,16.835280,4.066703,0.611357,0.051231,0.455270
0.020000,19.368033,8.530432,16.916859,4.078954,0.612565,0.060425,0.453722
0.020000,19.441610,8.566232,16.998684,4.091232,0.613920,0.067728,0.451933
0.020000,19.515477,8.601999,17.080755,4.103542,0.615499,0.078940,0.449902
0.020000,19.589643,8.637715,17.163072,4.115887,0.617256,0.087876,0.447630
0.020000,19.664118,8.673359,17.245638,4.128271,0.619179,0.096167,0.445115
0.020000,19.738911,8.708914,17.328452,4.140696,0.621254,0.103725,0.442356
0.020000,19.814032,8.744360,17.411515,4.153166,0.623478,0.111188,0.439353
0.020000,19.889490,8.779677,17.494829,4.165685,0.625980,0.125126,0.436104
0.020000,19.965295,8.814845,17.578394,4.178250,0.628235,0.112723,0.432609
0.020000,20.041455,8.849843,17.662211,4.190864,0.630728,0.124660,0.428867
0.020000,20.117981,8.884652,17.746282,4.203530,0.633270,0.127109,0.424876
0.020000,20.194881,8.919250,17.830607,4.216247,0.635835,0.128228,0.420636
0.020000,20.272165,8.953616,17.915187,4.229014,0.638393,0.127904,0.416145
0.020000,20.349842,8.987727,18.000024,4.241837,0.641115,0.136106,0.411403
0.020000,20.427920,9.021563,18.085118,4.254706,0.643452,0.116856,0.406409
0.020000,20.506408,9.055099,18.170470,4.267620,0.645709,0.112833,0.401161
0.020000,20.585314,9.088314,18.256082,4.280578,0.647898,0.109488,0.395660
0.020000,20.664645,9.121184,18.341953,4.293576,0.649901,0.100118,0.389903
0.020000,20.744410,9.153685,18.428085,4.306611,0.651734,0.091678,0.383891
0.020000,20.824616,9.185792,18.514479,4.319678,0.653395,0.083059,0.377623
0.020000,20.905269,9.217482,18.601134,4.332765,0.654312,0.045815,0.371098
0.020000,20.986376,9.248728,18.688052,4.345867,0.655095,0.039138,0.364316
0.020000,21.067942,9.279506,18.775231,4.358976,0.655447,0.017641,0.357277
0.020000,21.149972,9.309789,18.862673,4.372083,0.655374,-0.003643,0.349981
